ExpSieves,Expmass
14,1
13.2,1
11.2,0.973519298
9.53,0.945623612
6.35,0.787703348
5.6,0.700256275
3.35,0.410335959
2.36,0.249320839
2,0.198161223
1.7,0.164640877
1.4,0.129931216
1.18,0.107259773
1,0.086000051
0.85,0.071632805
0.71,0.054692468
0.6,0.039267148
0.425,0.023462355
0.25,1.24E-02
0.18,0.00887771
0.1,0
0,0
