ExpSieves,Expmass
10,1
9.53,1
6.35,0.96388108
5.6,0.929454134
3.35,0.654692702
2.36,0.417455804
2,0.321470403
1.7,0.261308657
1.4,0.203086074
1.18,0.170216719
1,0.136097177
0.85,0.102855794
0.71,0.078346792
0.6,0.060260764
0.425,0.035778656
0.25,0.015920707
0.18,0.00995446
0.15,7.06E-03
0.1,3.84E-17
0,0
