ExpSieves,Expmass
10,1
9.53,1
6.35,0.986845409
5.6,0.956899241
3.35,0.73448922
2.36,0.515157756
2,0.431732603
1.7,0.357601558
1.4,0.290443008
1.18,0.248173193
1,0.200588999
0.85,0.160445675
0.71,0.127740307
0.6,0.098426012
0.425,0.060208243
0.25,0.027161117
0.18,0.012117806
0.15,0.009844219
0.1,0
0,0
