FSieves,Feedmass
31.56,0.97568
31.23,0.95444
28.57,0.94023
28.49,0.92532
27.71,0.90964
27.32,0.903
26.08,0.88872
25.88,0.8705
25.73,0.86018
25.69,0.84727
25.21,0.83156
25.08,0.82324
25.07,0.81839
25.06,0.80888
25.05,0.80093
24.93,0.79139
24.91,0.78327
24.84,0.75249
24.51,0.73333
24.41,0.71387
23.93,0.69977
23.81,0.68932
23.8,0.66746
23.4,0.66195
23.3,0.64814
23.27,0.62924
23.13,0.61466
23.12,0.60447
23.09,0.59683
23.04,0.57161
22.76,0.55781
22.65,0.54151
22.6,0.53688
22.55,0.52334
22.48,0.51431
22.47,0.50326
22.41,0.48896
22.22,0.47476
22.215,0.45949
22.21,0.44918
22.1,0.44109
22,0.43859
21.95,0.42416
21.73,0.41481
21.69,0.4057
21.68,0.39376
21.58,0.36815
21.56,0.35689
21.55,0.35012
21.5,0.34705
21.42,0.34078
21.28,0.33197
21.275,0.31669
21.27,0.30767
21.2,0.29877
21.11,0.28465
21.09,0.26887
21.08,0.2586
20.9,0.25208
20.79,0.24415
20.78,0.22855
20.74,0.2212
20.73,0.21272
20.25,0.20248
20.01,0.19584
19.9,0.1834
19.47,0.17062
19.44,0.16557
18.94,0.15827
18.74,0.15069
18.66,0.1405
18.63,0.13642
18.62,0.13505
18.31,0.116
18.29,0.10918
18.12,0.09824
17.98,0.09073
17.81,0.08328
17.54,0.07307
17.31,0.06852
16.85,0.05784
16.77,0.04043
16.66,0.02681
16.2,0.02062
15.22,0.01512
13.36,0.00881
12.56,0.00286
9.9,0
