FSieves,Feedmass
33.138,1
30.80080194,1
28.62844469,1
26.60930216,1
24.73256822,1
22.9881989,1
21.36685863,1
19.85987027,1
18.45916865,1
17.15725746,1
15.94716907,1
14.82242731,1
13.77701273,0.99999998
12.80533045,0.999999529
11.90218019,0.999993831
11.06272843,0.999950294
10.28248256,0.999727808
9.557266852,0.998904373
8.883200054,0.996552643
8.256674678,0.99110238
7.674337663,0.980439154
7.133072436,0.962274078
6.629982236,0.93466805
6.162374607,0.896512687
5.727746991,0.847797761
5.323773331,0.789598111
4.948291627,0.723825527
4.599292364,0.652858796
4.274907755,0.579171363
3.973401747,0.50503911
3.693160729,0.432361015
3.432684898,0.362591544
3.19058023,0.29672842
2.965551022,0.235387016
2.756392953,0.178866755
2.561986644,0.127228234
2.381291665,0.080362703
2.213340967,0.0380494
2.057235704,0
