ExpSieves,Expmass
14,1
13.2,0.970987133
11.2,0.945318399
9.53,0.918220157
6.35,0.764869771
5.6,0.679944539
3.35,0.398444166
2.36,0.242101644
2,0.192409507
1.7,0.159850298
1.4,0.126141609
1.18,0.104117058
1,0.083461939
0.85,0.069518113
0.71,0.053078342
0.6,0.038097362
0.425,0.022763529
0.25,1.20E-02
0.18,0.008624071
0.1,0
0,0
