ExpSieves,Expmass
10,1
9.53,1
6.35,0.98309794
5.6,0.957512444
3.35,0.758538003
2.36,0.532883004
2,0.436540181
1.7,0.349293307
1.4,0.271777003
1.18,0.228322644
1,0.182314419
0.85,0.143059004
0.71,0.105148338
0.6,0.078577258
0.425,0.041691101
0.25,0.017077366
0.18,0.008923526
0.15,0.004511307
0.1,3.74E-17
0,0
