ExpSieves,Expmass
14,1
13.2,0.969632866
11.2,0.945337239
9.53,0.909634457
6.35,0.759922313
5.6,0.672944891
3.35,0.401387944
2.36,0.26110302
2,0.211662138
1.7,0.179185377
1.4,0.146029867
1.18,0.126381489
1,0.103818359
0.85,0.086209491
0.71,0.066421743
0.6,0.050046969
0.425,0.029779027
0.25,0.013154427
0.18,0.007210617
0.1,1.11E-16
0,0
