ExpSieves,Expmass
14,1
13.2,1
11.2,0.991138987
9.53,0.982258243
6.35,0.893580176
5.6,0.834717707
3.35,0.591053542
2.36,0.374286751
2,0.286689651
1.7,0.224523763
1.4,0.168333486
1.18,0.130458235
1,0.094268035
0.85,0.068536966
0.71,0.046802169
0.6,0.030583614
0.425,0.01499741
0.25,0.006340671
0.18,0.003000753
0.1,7.47E-17
0,0
