ExpSieves,Expmass
10,1
9.53,1
6.35,0.992372836
5.6,0.981572545
3.35,0.837131869
2.36,0.666583491
2,0.576423608
1.7,0.4976263
1.4,0.403681551
1.18,0.347962807
1,0.290587135
0.85,0.237699397
0.71,0.178900021
0.6,0.131536449
0.425,0.072301988
0.25,0.026304086
0.18,0.010166389
0.15,0.007612047
0.1,1.12E-16
0,0
