ExpSieves,Expmass
10,1
9.53,1
6.35,0.993306134
5.6,0.985609901
3.35,0.882525878
2.36,0.732857368
2,0.637943023
1.7,0.548990111
1.4,0.455644064
1.18,0.393083129
1,0.332938035
0.85,0.27796828
0.71,0.221315873
0.6,0.17118986
0.425,0.09854138
0.25,0.036900692
0.18,0.016341494
0.15,0.011268787
0.1,1.11E-16
0,0
