duration,fmat
0.333,0.0000001
0.5,0.000106812
0.55,0.00012
0.6,0.0002
0.65,0.00022
0.7,0.0003
0.75,0.001
0.8,0.002
0.85,0.003
0.86,0.0033
0.87,0.0037
0.88,0.0041
0.9,0.005
0.91,0.0058
0.92,0.0063
0.93,0.007
0.94,0.0083
0.95,0.01
